emails,rating,height,bmi,yrs_education,age,days_active
59,0.5947442,67.5,19.28669,16,2,108
2,-0.5185246,67.5,27.00137,17.5,2,4
12,0.1593948,61,34.95163,17.5,1,30
25,0.2657996,65.5,20.48249,18,1,46
1,-0.6548169,63.5,21.79304,17.5,3,108
58,0.1318292,61,23.61596,16,1,82
12,-0.2199165,63.5,25.27993,16,1,16
15,-1.024212,67.5,23.9155,17.5,3,44
18,0.3403254,63.5,23.53649,18,1,35
3,-0.863475,63.5,25.27993,16,2,89
28,0.829425,63.5,21.79304,16,2,108
6,0.4096638,61,19.83741,16,3,108
23,0.1600668,65.5,25.39829,16,2,108
38,-0.18626,63.5,20.0496,16,3,65
56,-0.2233787,65.5,22.12109,16,3,108
81,0.6226928,61,19.83741,16,1,108
40,0.7744451,61,19.83741,16,1,79
4,-0.3711216,63.5,23.53649,13,1,108
22,-0.0237897,69.5,19.64805,15,3,108
3,0.2752712,65.5,22.12109,16,2,108
16,0.167078,67.5,25.45844,12.5,3,108
16,0.368483,65.5,23.75969,21,3,108
6,-0.5734975,65.5,18.84389,14,1,108
27,-0.9830061,67.5,20.82963,12.5,1,87
7,-0.035948,69.5,22.55887,16,2,108
20,0.1922844,65.5,22.12109,12,1,18
9,-0.7404416,63.5,27.02337,18,2,64
1,-0.6940036,63.5,27.02337,17.5,2,7
25,0.3383928,63.5,20.0496,12,2,72
34,-0.4536045,67.5,23.9155,16,3,108
30,-0.1842349,75.5,20.34911,16,1,60
20,0.2235087,65.5,25.39829,16,1,73
41,-0.9475975,65.5,27.03689,12.5,3,70
7,-0.4482524,67.5,22.37256,16,1,108
51,0.3334195,61,19.83741,21,2,68
24,-0.2244906,65.5,28.67549,12.5,2,76
63,0.4214833,65.5,27.03689,12.5,2,56
5,-0.7222459,69.5,25.4697,21,1,28
68,0.2913688,61,25.50524,18,1,108
118,0.4984922,67.5,20.82963,12.5,1,93
10,-0.0263338,63.5,21.79304,17,2,108
8,-0.2832263,61,19.83741,18,2,8
26,0.8023682,69.5,18.19264,17,1,108
79,0.3078945,63.5,21.79304,16,3,108
51,0.5802354,69.5,21.10346,16,3,82
18,0.375293,65.5,27.03689,18,2,108
43,0.1553075,67.5,22.37256,17.5,2,20
