emails,rating,height,bmi,yrs_education,age,days_active
2,-0.5492128,69.5,26.92511,12.5,2,108
0,-0.7273103,69.5,25.4697,17.5,1,35
23,0.5431931,73.5,24.07423,14,1,108
0,-0.4018825,65.5,25.39829,16,1,32
4,-0.2611836,67.5,23.9155,18,2,108
5,-0.2843346,73.5,24.07423,14,1,29
10,0.3855145,73.5,30.58078,16,2,93
14,-0.3656681,73.5,26.67685,16,2,108
76,1.830443,75.5,22.81567,16,1,26
5,0.0674393,73.5,30.58078,16,3,108
13,-0.1159124,71.5,28.19013,15,2,78
0,-0.2876903,73.5,26.67685,16,1,3
1,-0.3785313,67.5,31.63018,16,1,7
4,-0.0334006,63.5,25.27993,14.5,3,108
4,-0.2747971,71.5,25.43987,18,3,83
3,-0.7433619,71.5,25.43987,18,1,108
6,-0.2349429,71.5,22.68962,18,2,62
17,0.0718976,71.5,25.43987,18,2,108
2,-0.7284089,73.5,29.27947,12.5,2,17
0,0.4700445,69.5,26.92511,16,1,108
8,-0.4691618,69.5,22.55887,18,3,108
1,-0.8935632,71.5,35.06577,8,1,108
1,-0.3368295,69.5,21.10346,16,1,4
30,-1.939667,71.5,13.06372,8,2,70
2,-0.1456751,73.5,27.97816,12.5,1,18
9,-0.2219026,69.5,26.92511,16,1,76
0,-0.571802,67.5,23.9155,18,3,63
0,-0.7557338,69.5,22.55887,16,2,108
3,-0.3241216,67.5,23.9155,16,2,98
0,-0.2653401,73.5,21.47161,14,1,8
7,-0.1912216,71.5,26.815,8,3,108
8,-0.0953594,69.5,22.55887,18,1,108
12,-0.4925552,69.5,22.55887,18,3,108
10,0.4556495,71.5,25.43987,16,2,94
2,-0.6967409,71.5,25.43987,13,3,108
1,-0.6025552,73.5,26.67685,16,2,75
1,0.0245933,67.5,23.9155,18,3,104
12,-0.7631871,71.5,26.815,16,3,108
0,-0.0004972,71.5,25.43987,18,1,19
4,-0.0474621,67.5,28.54431,17,1,71
5,-0.8060395,75.5,27.74878,18,1,91
1,-0.2447462,67.5,23.9155,17,1,29
5,-0.2747773,71.5,24.06475,12.5,2,108
6,0.1348255,67.5,25.45844,21,2,108
1,0.2220693,67.5,25.45844,12,2,46
21,-0.2217002,69.5,25.4697,18,2,100
8,0.0028751,71.5,30.94039,18,1,108
2,-0.1385045,71.5,29.56526,12.5,1,108
5,-0.5619329,73.5,24.07423,16,3,108
2,0.1300042,65.5,22.12109,16,2,108
10,1.110305,71.5,21.31449,18,1,108
3,0.1649278,67.5,27.00137,16,2,24
10,0.1326288,71.5,21.31449,16,1,28
81,-0.3095628,71.5,26.815,18,2,108
1,-0.8725277,73.5,24.07423,17.5,2,11
2,0.0945509,69.5,29.83593,17,1,72
13,-0.6965993,67.5,33.17311,17.5,1,108
22,0.4556465,73.5,25.37554,18,2,108
3,-0.3654303,73.5,27.97816,14.5,2,92
0,-0.1683044,67.5,23.9155,16,3,77
5,-0.0153961,73.5,20.1703,16,3,48
1,0.2967744,73.5,20.1703,16,3,76
31,0.0817594,69.5,21.10346,16,3,108
1,-0.2381431,63.5,27.02337,16,3,8
16,0.8527167,67.5,20.82963,12,2,108
5,-0.2826177,71.5,24.06475,17.5,1,36
20,0.6286466,71.5,28.19013,17.5,3,108
0,-0.459512,67.5,27.00137,16,2,108
4,0.1251302,69.5,22.55887,15,2,57
4,-0.3386746,69.5,24.01428,18,3,108
2,-0.6630241,71.5,32.31552,12.5,1,94
6,-0.0561434,71.5,32.31552,12.5,1,108
3,0.3463052,73.5,26.67685,12.5,1,75
17,0.243865,71.5,28.19013,16,2,108
19,-0.1084506,67.5,28.54431,16,2,108
15,0.6545904,71.5,24.06475,12.5,1,108
0,-0.4260737,69.5,25.4697,12.5,1,70
2,-0.2089844,67.5,28.54431,18,2,76
11,0.6911638,73.5,21.47161,17.5,3,108
18,0.4096063,69.5,24.01428,18,1,36
1,-0.5007545,69.5,26.92511,18,1,3
6,-0.5246563,69.5,22.55887,18,3,108
0,-0.9250755,69.5,25.4697,18,2,72
7,-0.1466073,67.5,28.54431,14,2,47
1,-0.444576,65.5,23.75969,8,2,81
1,-0.4680887,71.5,26.815,14,3,14
22,-0.2217422,69.5,28.38052,12.5,3,108
6,0.409424,71.5,24.06475,16,1,108
15,0.4373198,69.5,25.4697,14,2,93
24,-0.6230462,73.5,30.58078,12.5,2,108
1,-1.439465,71.5,24.06475,18,2,37
3,-0.4455509,71.5,28.19013,12.5,1,5
0,0.4309188,73.5,25.37554,18,1,88
0,-0.7643586,69.5,21.10346,14,3,71
21,0.1937324,71.5,22.68962,16,3,108
14,-0.4170162,71.5,28.19013,17.5,2,61
9,-0.1615364,67.5,25.45844,16,3,108
5,-0.2223008,71.5,33.69064,16,2,108
